lat,lon,Name,Population,Date established,Region
38.76259613,-77.08867798,Atarot,278,1983,Mount Hebron
38.7537117,-77.07402191,Neve Ya'acov,462,1982,Samaria
38.94432755,-76.85042419,Ramot,"7,574",1983,Samaria
38.83031616,-77.05339966,Ramat Shu'fat,"3,066",1970,Etzion Bloc
38.74398209,-77.05890045,French Hill,178,1977,Jordan Valley
38.93431396,-77.04635773,Pisgat Ze'ev,"1,132",1982,Benjamin
38.74022461,-76.85424652,Talpiot,132,1968,Jordan Valley
39.08367287,-77.07626541,Har Homa,"18,176",1978,Samaria
39.07543216,-76.99568634,Gilo,469,1984,Mount Hebron
39.03444748,-77.01735794,Ateret,775,1981,Benjamin
39.04283936,-76.7933777,Avnei Hefetz,"1,614",N/A,Samaria
38.72953796,-77.01939346,Barkan,"1,502",1981,Samaria
38.72956467,-77.02939957,Bat Ayin,"1,117",1989,Samaria
38.79356628,-77.04978006,Beit Arye,"4,166",1981,Samaria
38.93358917,-77.23877243,Beit El,"5,897",1977,Benjamin
39.09088074,-77.15813751,Beit ha'Arava,119,1980,Jordan Valley
38.73949814,-76.96659088,Beit Horon,"1,149",1977,Benjamin
38.83389816,-77.49588776,Benjamin,420,-,
38.83890686,-77.17003937,Beqa'ot,175,1972,Jordan Valley
38.99339974,-76.99588242,Betar 'Illit,"42,467",1985,Etzion Bloc
38.82167969,-76.85316315,Bracha,"1,922",1982,Samaria
